,Address,Latitude,Longitude,Zone,Page,Total Distance,Order
103,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,2,146.37,29
104,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,2,146.37,30
105,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,2,146.37,31
106,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,2,146.37,32
107,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,2,146.37,33
108,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,2,146.37,34
109,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,2,146.37,35
110,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,2,146.37,36
111,"Connaught Place, Delhi",28.6314022,77.2193791,2,3,141.63,0
112,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,3,141.63,1
113,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,3,141.63,2
114,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,3,141.63,3
115,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,3,141.63,4
116,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,3,141.63,5
117,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,3,141.63,6
118,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,3,141.63,7
119,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,3,141.63,8
120,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,3,141.63,9
121,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,3,141.63,10
122,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,3,141.63,11
123,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,3,141.63,12
124,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,3,141.63,13
125,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,3,141.63,14
126,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,3,141.63,15
127,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,3,141.63,16
128,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,3,141.63,17
129,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,3,141.63,18
130,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,3,141.63,19
131,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,3,141.63,20
132,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,3,141.63,21
133,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,3,141.63,22
134,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,3,141.63,23
135,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,3,141.63,24
136,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,3,141.63,25
137,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,3,141.63,26
138,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,3,141.63,27
139,"1, Delhi 122001",28.5998993,77.20617580273222,2,3,141.63,28
140,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,3,141.63,29
141,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,3,141.63,30
142,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,3,141.63,31
143,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,3,141.63,32
144,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,3,141.63,33
145,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,3,141.63,34
146,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,3,141.63,35
147,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,3,141.63,36
148,"Connaught Place, Delhi",28.6314022,77.2193791,2,4,138.34,0
149,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,4,138.34,1
150,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,4,138.34,2
151,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,4,138.34,3
152,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,4,138.34,4
153,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,4,138.34,5
154,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,4,138.34,6
155,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,4,138.34,7
156,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,4,138.34,8
157,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,4,138.34,9
158,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,4,138.34,10
159,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,4,138.34,11
160,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,4,138.34,12
161,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,4,138.34,13
162,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,4,138.34,14
163,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,4,138.34,15
164,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,4,138.34,16
165,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,4,138.34,17
166,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,4,138.34,18
167,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,4,138.34,19
168,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,4,138.34,20
169,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,4,138.34,21
170,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,4,138.34,22
171,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,4,138.34,23
172,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,4,138.34,24
173,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,4,138.34,25
174,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,4,138.34,26
175,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,4,138.34,27
176,"1, Delhi 122001",28.5998993,77.20617580273222,2,4,138.34,28
177,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,4,138.34,29
178,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,4,138.34,30
179,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,4,138.34,31
180,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,4,138.34,32
181,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,4,138.34,33
182,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,4,138.34,34
183,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,4,138.34,35
184,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,4,138.34,36
185,"Connaught Place, Delhi",28.6314022,77.2193791,2,5,137.94,0
186,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,5,137.94,1
187,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,5,137.94,2
188,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,5,137.94,3
189,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,5,137.94,4
190,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,5,137.94,5
191,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,5,137.94,6
192,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,5,137.94,7
193,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,5,137.94,8
194,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,5,137.94,9
195,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,5,137.94,10
196,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,5,137.94,11
197,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,5,137.94,12
198,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,5,137.94,13
199,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,5,137.94,14
200,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,5,137.94,15
201,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,5,137.94,16
202,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,5,137.94,17
203,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,5,137.94,18
204,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,5,137.94,19
205,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,5,137.94,20
206,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,5,137.94,21
207,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,5,137.94,22
208,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,5,137.94,23
209,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,5,137.94,24
210,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,5,137.94,25
211,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,5,137.94,26
212,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,5,137.94,27
213,"1, Delhi 122001",28.5998993,77.20617580273222,2,5,137.94,28
214,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,5,137.94,29
215,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,5,137.94,30
216,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,5,137.94,31
217,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,5,137.94,32
218,"Krishna Menon Lane, Udyog Bhawan, Delhi 110011",28.6103927,77.213107,2,5,137.94,33
219,"5/18, Ground Floor, Patel Nagar (e), Delhi 110008",28.6450527,77.1693179,2,5,137.94,34
220,"2262, Basti Julahan, Idgah Road, Sadar Bazar, Delhi 110006",28.6541358,77.2072809,2,5,137.94,35
221,"3132, Ram Bazar, Delhi 110006",28.651067,77.2281349,2,5,137.94,36
222,"Connaught Place, Delhi",28.6314022,77.2193791,2,6,137.52,0
223,"F 20, United India Life Bldg, Connaught Place, Delhi 110001",28.6314022,77.2193791,2,6,137.52,1
224,"86, Janpath, Delhi 110001",28.6282883,77.2193779,2,6,137.52,2
225,"Cccl Building, Jai Singh Road, Connaught Place, Delhi 110001",28.6270183,77.2153664,2,6,137.52,3
226,"V-33, Patel Nagar (w), Delhi 110008",28.6472587,77.1653712,2,6,137.52,4
227,"202 2nd Floor Furniture Block, Plot No 6 Kamal House Whs, Delhi 110015",28.6273928,77.1716954,2,6,137.52,5
228,"641/42, Shradhanand Marg, Behind 77, G B Road, Delhi 110006",28.6517178,77.2219388,2,6,137.52,6
229,"4, 3000, Bhagwant Singh Market, Bahadur Garh Road, Sadar Bazar, Delhi 110006",28.658087,77.2170087,2,6,137.52,7
230,"3515, Chutani Manzil, Nicholson Road, Mori Gate, Delhi 110006",28.664203,77.2237393,2,6,137.52,8
231,"Shop No 29, Beadon Pura, Ajmal Khan Road Gali No 2, Karol Bagh, Delhi 110005",28.6529982,77.1890227,2,6,137.52,9
232,"47-50, Dsidc Complex, Bahadur Shah Zafar M, Delhi 110002",28.6389559,77.2410843,2,6,137.52,10
233,"4226/1 Bhargava Lane, Ansari Road, Delhi 110002",28.6442872,77.2441881,2,6,137.52,11
234,"B-8, 18, Rattan Jyoti, Rajendra Place, Delhi 110008",28.64459015,77.17775672442914,2,6,137.52,12
235,"1/25, Asaf Ali Road, Near Hamdard Building, Kamla Market, Delhi 110002",28.6786683,77.2072566,2,6,137.52,13
236,"3e/1, Link Road, Delhi 110055",28.6455279,77.1977334,2,6,137.52,14
237,"778 A, Nai Sarak, Chandni Chowk, Delhi 110006",28.6533313,77.2285546,2,6,137.52,15
238,"676, Katra Neel, Chandni Chowk, Delhi 110006",28.6576181,77.2257763,2,6,137.52,16
239,"8, Community Centre 2, Bansal Tower, Ashok Vihar, Delhi 110052",28.6909399,77.17761970395301,2,6,137.52,17
240,"1164, Kucha Mahajan, Chandni Chowk, Delhi 110006",28.6563007,77.2299093,2,6,137.52,18
241,"C 49 Phase 2, Delhi 201301",28.6271527,77.2166666,2,6,137.52,19
242,"221, Teliwara, Sadar Bazar, Delhi 110006",28.661528,77.2148162,2,6,137.52,20
243,"470, Shiv Market, Wazirpur, Delhi 110052",28.6800843,77.17022123990277,2,6,137.52,21
244,"1007, Faiz Road, Karol Bagh, Delhi 110005",28.6472665,77.1982147,2,6,137.52,22
245,"5 C/70, Sai Plaza Building, New Rohtak Road, Karol Bagh, Delhi 110005",28.6562333,77.1973114,2,6,137.52,23
246,"161, Gaffar Market, Karol Bagh, Delhi 110005",28.6494994,77.19175583006074,2,6,137.52,24
247,"D-1258, New Subzi Mandi, Azadpur, Delhi 110033",28.7076568,77.1755473,2,6,137.52,25
248,"8189/6, Arakashan Road, Delhi 110055",28.6459202,77.2152545,2,6,137.52,26
249,"771, Chabi Ganj, Kashmere Gate, Delhi 110006",28.666814100000003,77.22905486082311,2,6,137.52,27
250,"1, Delhi 122001",28.5998993,77.20617580273222,2,6,137.52,28
251,"446, Shahzada Bagh, Old Rohtak Road Chowk, Inderlok, Delhi 110035",28.67276855,77.16568970929804,2,6,137.52,29
252,"80, Ram Nagar Market, Pahar Ganj, Delhi 110055",28.6398522,77.2130306,2,6,137.52,30
253,"53/75, Ramjas Road, Karol Bagh, Delhi 110005",28.6461328,77.1845202,2,6,137.52,31
254,"J 30, White House, Nr Ram Jas Schoolno 2, Anand Parbat, Delhi 110005",28.660396,77.18014,2,6,137.52,32
